auc_large,req_raw,req_excess,req_anchored
0.6,0.54,0.59,
0.62,0.558,0.608,
0.64,0.5760000000000001,0.626,
0.66,0.5940000000000001,0.644,
0.68,0.6120000000000001,0.662,
0.7,0.63,0.6799999999999999,
0.72,0.648,0.698,
0.74,0.666,0.716,
0.76,0.684,0.734,
0.78,0.7020000000000001,0.752,0.7793
0.8,0.7200000000000001,0.77,0.7973
0.82,0.738,0.788,0.8152999999999999
0.84,0.756,0.806,0.8332999999999999
0.86,0.774,0.8240000000000001,0.8513
0.88,0.792,0.8420000000000001,0.8693
0.9,0.81,0.8600000000000001,0.8873
0.92,0.8280000000000001,0.8780000000000001,0.9053
0.94,0.846,0.8959999999999999,0.9233
0.96,0.864,0.9139999999999999,0.9413
0.98,0.882,0.9319999999999999,0.9593
